Track    Arch    Channel    Version    Revision    Progress    Expires at
latest   amd64   stable     v11.14.0   847         -           -
latest   amd64   candidate  v11.20.0   921         -           -
latest   amd64   beta       ↑          ↑           -           -
latest   amd64   edge       v11.20.0   927         -           -
latest   arm64   stable     v11.14.0   849         -           -
latest   arm64   candidate  v11.20.0   922         -           -
v11.20   amd64   stable     v11.20.0   921         -           -
v11.20   amd64   candidate  ↑          ↑           -           -
v11.20   amd64   beta       ↑          ↑           -           -
v11.20   amd64   edge       ↑          ↑           -           -
v11.20   amd64   edge/pr-204   v11.20.0   921         -           2026-07-21T00:00:00Z
v11.19   amd64   stable     v11.19.1   850         -           -
v11.19   amd64   edge/pr-209   v11.19.1   924         -           2026-07-21T00:00:00Z
